-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,
-300,-300,-300, 45 , 50 , 55 , 65 , 70 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 ,-300,
-300,-300, 40 , 45 , 50 , 55 , 65 , 70 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 , 75 ,-300,
-300, 30 , 40 , 45 , 45 ,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300, 75 , 75 , 75 ,-300,
-300, 30 , 35 , 40 ,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300, 75 , 75 ,-300,
-300, 30 , 30 ,-300,-300, 75 , 75 ,-300,-300,-300,-300,-300, 75 , 75 , 75 , 75 ,-300, 75 , 75 ,-300,
-300, 25 , 25 ,-300, 75 , 75 , 75 , 75 ,-300,-300,-300, 75 , 75 , 75 , 75 , 75 ,-300, 75 , 75 ,-300,
-300, 20 , 20 ,-300, 75 , 75 , 75 , 75 , 75 ,-300,-300, 75 , 75 ,-300, 75 , 75 ,-300, 75 , 75 ,-300,
-300, 15 , 15 ,-300, 75 , 75 ,-300, 75 , 75 , 75 ,-300, 75 , 75 ,-300, 75 , 75 ,-300, 75 , 75 ,-300,
-300, 10 , 10 ,-300, 75 , 75 ,-300,-300, 75 , 75 ,-300, 75 , 75 ,-300, 75 , 75 ,-300, 75 , 75 ,-300,
-300,  5 ,  5 ,-300, 75 , 75 ,-300,-300, 75 , 75 , 75 , 75 , 75 ,-300, 75 , 75 ,-300, 75 , 75 ,-300,
-300,-300,-300,-300, 75 , 75 ,-300,-300, 75 , 75 , 75 , 75 , 75 ,-300, 75 , 75 , 75 , 75 , 75 ,-300,
-300,-300,-300,-300, 75 , 75 ,-300,-300,-300, 75 , 75 , 75 ,-300,-300, 75 , 75 , 75 , 75 , 75 ,-300,
-300, 75 , 75 , 75 , 75 , 75 ,-300,-300,-300,-300,-300,-300,-300,-300,-300, 75 , 75 , 75 , 75 ,-300,
-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300
